task_id,arrival_time_min,cpu_demand_pct,duration_min,latency_sla_min,node_id,queue_wait_min,start_time_min,end_time_min,completion_latency_min,migrated,sla_breached
1469,659.8045092607493,27.868658633676613,26.87420793227337,4.581783051842223,11,85.7704298867659,745.5749391475152,772.4491470797886,112.6446378190393,False,True
1732,745.7499544993537,11.83167158087268,9.601845744539705,7.337577325067258,2,0.0,745.7499544993537,755.3518002438934,9.601845744539673,False,False
1733,745.9003506880446,17.790650992432397,8.807403263614312,6.809045525995668,2,0.0,745.9003506880446,754.7077539516589,8.807403263614333,False,False
1734,746.2319762760999,17.497123459325316,28.679435587088562,5.5996260988411235,7,0.0,746.2319762760999,774.9114118631885,28.67943558708862,False,False
1735,746.8992161993267,32.10620417559692,21.21500028559878,2.0691752404910377,7,0.0,746.8992161993267,768.1142164849255,21.215000285598762,False,False
1736,747.2930898934015,31.636397644787564,19.379433819472716,4.222710183314648,0,0.0,747.2930898934015,766.6725237128743,19.37943381947275,False,False
1737,747.405699104108,29.317538175829256,15.742995724732495,1.2976698306262193,16,0.0,747.405699104108,763.1486948288405,15.74299572473251,False,False
1049,613.2108071613859,22.16732953837886,17.610712098875105,4.052544227999607,15,134.41073971506592,747.6215468764518,765.2322589753269,152.02145181394098,False,True
1738,747.9844934746669,27.620988047127472,27.58656157296377,2.505126965260941,18,0.0,747.9844934746669,775.5710550476307,27.586561572963774,False,False
1739,748.0710528959602,19.340235284920826,19.99081564097228,1.1298842188655196,14,0.0,748.0710528959602,768.0618685369325,19.9908156409723,False,False
1740,748.1850710713189,19.874934799239675,16.92496656229907,2.866824303705796,3,0.0,748.1850710713189,765.110037633618,16.92496656229912,False,False
1741,748.3912646005089,13.104854861993836,24.70762073499379,7.459765730801355,6,0.0,748.3912646005089,773.0988853355027,24.70762073499384,False,False
1742,748.4808941021196,15.66304647667581,8.27031520124312,4.577126331342588,4,0.0,748.4808941021196,756.7512093033627,8.27031520124308,False,False
1743,748.6277016180431,29.16904840481545,3.0366614675433836,2.0541760859739555,7,0.0,748.6277016180431,751.6643630855865,3.036661467543354,False,False
1744,749.2478733499953,8.363467335097466,17.297903478046656,5.111921356779308,13,0.0,749.2478733499953,766.545776828042,17.297903478046692,False,False
1745,749.3365269284855,26.634341818657003,8.783871582116634,7.636717856628294,2,0.0,749.3365269284855,758.1203985106021,8.783871582116603,False,False
1746,749.4104850497589,22.035355799522485,7.679740446987937,5.40001677743189,6,0.0,749.4104850497589,757.0902254967468,7.679740446987921,False,False
1747,749.7022418028836,7.4871365758303305,2.7208489683648143,2.5867025729410855,5,0.0,749.7022418028836,752.4230907712484,2.7208489683648622,False,False
1748,749.8371394121191,5.7979715562456935,5.870338120271182,4.705920041784032,5,0.0,749.8371394121191,755.7074775323903,5.870338120271185,False,False
1749,749.8800022416797,8.544845128878023,20.743582062049978,1.135506874356769,5,0.0,749.8800022416797,770.6235843037297,20.743582062049995,False,False
1750,750.3035470976934,25.15401602231143,19.28361542782666,5.681742641605408,13,0.0,750.3035470976934,769.5871625255201,19.283615427826703,False,False
1751,750.7914134142342,20.294955326588422,3.9210748961682276,2.6566063459679574,5,0.0,750.7914134142342,754.7124883104024,3.921074896168193,False,False
1752,750.8068074064636,32.58546135717896,28.788116553528198,5.487726864751084,11,0.0,750.8068074064636,779.5949239599918,28.788116553528198,False,False
1673,726.1087700892691,20.403800877282695,9.472817228120434,1.2248258355504618,17,25.275712829053987,751.3844829183231,760.8573001464435,34.748530057174435,False,True
1674,726.1697517128498,11.681960629398965,11.14313293399854,3.8622331510348573,17,25.2147312054733,751.3844829183231,762.5276158523217,36.35786413947187,False,True
1677,727.3944994513822,10.90742371694909,15.81653470129266,4.071611030684626,17,23.989983466940885,751.3844829183231,767.2010176196158,39.80651816823354,False,True
1547,684.8631478702806,13.701031237874801,10.954824408480345,3.7650787565385544,1,66.82164209135124,751.6847899616319,762.6396143701122,77.7764664998316,False,True
1549,685.0947313420152,17.94085302379041,8.738359492901347,6.732046411667416,1,66.59005861961668,751.6847899616319,760.4231494545332,75.32841811251808,False,True
1587,696.6809160795917,31.01500330457083,23.83880192151767,4.131963551143569,1,55.99344786165159,752.6743639412433,776.513165862761,79.83224978316923,False,True
1050,613.2264922670994,18.56233736468119,14.292688360596397,2.4725904984728944,15,139.91038818574702,753.1368804528464,767.4295688134428,154.20307654634337,False,True
1753,753.3101527745429,11.564548060213589,13.497926318511544,1.831701217323436,4,0.0,753.3101527745429,766.8080790930544,13.497926318511531,False,False
1160,626.2058114194402,24.739218888811855,14.271602950239958,1.7896346369265952,9,127.5105845562639,753.7163959757041,767.9879989259441,141.78218750650387,False,True
1754,754.1417242379638,29.103993632967878,20.26356370248801,7.599890436762695,18,0.0,754.1417242379638,774.4052879404518,20.263563702488,False,False
1755,754.3609968526188,30.182644449909503,4.175228153285675,7.501734356403338,12,0.0,754.3609968526188,758.5362250059045,4.17522815328573,False,False
1756,754.428905400064,29.517873074238132,16.44189154137821,1.4168491227629676,4,0.0,754.428905400064,770.8707969414422,16.441891541378254,False,False
1757,754.892078504104,18.51234139013953,28.094509246092283,6.787262450011278,2,0.0,754.892078504104,782.9865877501962,28.09450924609223,False,False
1758,755.1929081541273,13.77186526032488,19.098026549668614,6.560592245995712,5,0.0,755.1929081541273,774.2909347037959,19.09802654966859,False,False
1759,755.3353711618796,10.845238514791573,4.869856939622794,7.831303824253496,5,0.0,755.3353711618796,760.2052281015024,4.869856939622764,False,False
1760,756.0791958998307,12.071457654002142,5.3162870661031585,5.724556218192971,8,0.0,756.0791958998307,761.3954829659339,5.3162870661032,False,False
1761,756.3102731021344,7.237219331122561,24.52300405414656,1.9656953457518322,2,0.0,756.3102731021344,780.8332771562809,24.523004054146554,False,False
1762,756.386095018448,32.4252215944593,3.564546159853538,2.9797330581766257,19,0.0,756.386095018448,759.9506411783016,3.564546159853535,False,False
1763,756.4961261863788,24.912824423388898,21.006188129703933,2.483006130307669,5,0.0,756.4961261863788,777.5023143160827,21.0061881297039,False,False
1764,756.4987707627807,5.012836550818269,27.351024033925967,5.351659866554297,8,0.0,756.4987707627807,783.8497947967066,27.35102403392591,False,False
1765,756.5054964251946,29.527845934356545,24.70910868173727,7.491657481499943,12,0.0,756.5054964251946,781.2146051069318,24.709108681737234,False,False
1766,757.0484859508024,13.633177395627019,9.755254127427184,2.2394916672199887,7,0.0,757.0484859508024,766.8037400782296,9.755254127427179,False,False
1767,757.2371873400828,32.72704308171303,23.209631140965254,3.8207039147940494,6,0.0,757.2371873400828,780.446818481048,23.209631140965257,False,False
1162,626.5149344520825,31.66949858242047,28.017734255196764,4.37392108832846,9,130.81951746826735,757.3344519203498,785.3521861755465,158.83725172346408,False,True
1768,757.5666970261353,20.746978831350177,5.25108170070998,4.116028588776045,2,0.0,757.5666970261353,762.8177787268453,5.25108170070996,False,False
1769,757.6767094311014,11.663588362328227,24.771216303278145,2.789990070639245,8,0.0,757.6767094311014,782.4479257343795,24.771216303278152,False,False
1163,626.519495404167,14.477895549887636,7.109596151343511,2.1826685946684377,9,131.23020471989742,757.7497001240644,764.8592962754079,138.33980087124098,False,True
1164,626.5752397453531,13.41860647078022,25.419895308689306,4.46720295173017,9,131.17446037871127,757.7497001240644,783.1695954327537,156.5943556874006,False,True
1770,758.4112374274192,6.2335442855359755,4.948966913761646,4.587120499325465,2,0.0,758.4112374274192,763.3602043411809,4.948966913761637,False,False
1771,758.9950389911326,11.671311942220925,9.984390070515655,2.2155056549460035,14,0.0,758.9950389911326,768.9794290616483,9.984390070515701,False,False
1772,759.2251940456604,6.0965400619876196,26.497789336398043,1.7700534803462586,12,0.0,759.2251940456604,785.7229833820584,26.497789336398,False,False
1773,759.3413867883294,15.986266592555793,10.219394944343415,4.432348429092739,4,0.0,759.3413867883294,769.5607817326728,10.219394944343435,False,False
1774,759.7320792454217,8.506905156058654,15.428279751268272,6.531010492783825,13,0.0,759.7320792454217,775.16035899669,15.428279751268292,False,False
1775,759.7980098640263,34.03602641619432,28.28951702319895,5.563309914160206,13,0.0,759.7980098640263,788.0875268872253,28.289517023198982,False,False
1776,760.1418467039556,29.97596455368722,21.162694025385292,3.0269351990499764,3,0.0,760.1418467039556,781.3045407293409,21.16269402538535,False,False
